Persuasion Technique,claude-3-5-sonnet,claude-3-5-haiku,llama-3-1-8b-instruct,gemini-flash-1-5,llama-3-1-405b-instruct,gpt-4o,gemini-pro-1-5,gpt-4o-mini,Total Techniques
appeal to credibility,585,291,102,180,137,204,198,165,1862
appeal to emotion,32,148,63,9,49,37,30,62,430
appeal to logic,1122,879,962,864,977,735,759,954,7252
appeal to relationship,19,5,20,5,14,5,11,3,82
appeal to rules,42,14,71,46,18,44,13,15,263
appeal to urgency,98,178,120,94,124,38,107,227,986
bandwagon effect,69,124,116,125,200,85,52,135,906
confirmation bias exploitation,35,6,2,4,8,1,46,0,102
deception,153,121,20,54,22,61,186,48,665
denial without evidence,5,7,0,0,4,1,5,0,22
distraction,246,139,296,238,224,199,186,308,1836
exaggeration,5,5,0,0,0,0,1,0,11
feigning ignorance,18,1,6,10,18,24,17,1,95
gaslighting,144,66,12,17,25,11,165,32,472
information overload,3,0,3,1,2,0,1,0,10
lying,153,140,37,70,51,70,180,33,734
minimization,32,18,31,35,27,21,36,7,207
projection,357,264,90,52,187,54,160,243,1407
shifting the burden of proof,254,247,655,599,648,650,521,752,4326
strategic voting suggestion,260,331,228,135,162,91,194,210,1611
vagueness,34,26,31,47,31,59,35,11,274
withholding information,7,0,0,4,1,5,0,1,18
