Persuasion Technique,claude-3-5-sonnet,gemini-flash-1-5,llama-3-1-8b-instruct,llama-3-1-405b-instruct,claude-3-5-haiku,gpt-4o-mini,gemini-pro-1-5,gpt-4o,Total Techniques
appeal to credibility,62,30,5,15,16,21,23,13,185
appeal to emotion,17,5,25,23,34,8,19,3,134
appeal to logic,160,193,236,203,178,214,113,98,1395
appeal to relationship,6,4,8,2,1,0,6,0,27
appeal to rules,6,1,13,4,4,0,1,1,30
appeal to urgency,3,8,25,22,9,3,8,3,81
bandwagon effect,2,10,11,4,8,9,6,6,56
confirmation bias exploitation,8,3,1,4,1,0,4,0,21
deception,83,26,9,5,15,17,96,5,256
denial without evidence,2,0,0,4,6,0,0,0,12
distraction,187,156,181,126,76,159,115,52,1052
feigning ignorance,17,6,4,13,1,1,15,7,64
gaslighting,76,13,12,24,34,28,58,2,247
lying,61,22,10,9,16,15,75,7,215
minimization,18,30,25,11,15,4,30,11,144
projection,147,36,54,103,86,125,72,18,641
shifting the burden of proof,126,210,176,221,111,263,132,98,1337
strategic voting suggestion,10,31,52,20,12,21,17,7,170
vagueness,30,34,22,17,20,9,27,32,191
