Persuasion Technique,llama-3-1-405b-instruct,claude-3-5-haiku,gemini-pro-1-5,gpt-4o-mini,llama-3-1-8b-instruct,gemini-flash-1-5,claude-3-5-sonnet,gpt-4o,Total Techniques
appeal to credibility,122,275,175,144,97,150,523,191,1677
appeal to emotion,26,114,11,54,38,4,15,34,296
appeal to logic,774,701,646,740,726,671,962,637,5857
appeal to relationship,12,4,5,3,12,1,13,5,55
appeal to rules,14,10,12,15,58,45,36,43,233
appeal to urgency,102,169,99,224,95,86,95,35,905
bandwagon effect,196,116,46,126,105,115,67,79,850
confirmation bias exploitation,4,5,42,0,1,1,27,1,81
deception,17,106,90,31,11,28,70,56,409
denial without evidence,0,1,5,0,0,0,3,1,10
distraction,98,63,71,149,115,82,59,147,784
feigning ignorance,5,0,2,0,2,4,1,17,31
gaslighting,1,32,107,4,0,4,68,9,225
lying,42,124,105,18,27,48,92,63,519
minimization,16,3,6,3,6,5,14,10,63
projection,84,178,88,118,36,16,210,36,766
shifting the burden of proof,427,136,389,489,479,389,128,552,2989
strategic voting suggestion,142,319,177,189,176,104,250,84,1441
vagueness,14,6,8,2,9,13,4,27,83
withholding information,0,0,0,0,0,4,3,5,12
