,imp_model,crew_model,imp_out_tokens,crew_out_tokens,rounds,result,imp_pretend_count
0,claude-3-5-haiku,claude-3-5-haiku,6440,11838,6,imp,2
1,claude-3-5-haiku,claude-3-5-haiku,146456,265404,37,imp,4
2,claude-3-5-haiku,claude-3-5-haiku,8400,14422,9,crew,1
3,claude-3-5-haiku,claude-3-5-haiku,205984,322017,40,lim,9
4,claude-3-5-haiku,claude-3-5-haiku,15211,34426,12,imp,2
5,claude-3-5-haiku,claude-3-5-sonnet,25569,33026,12,imp,6
6,claude-3-5-haiku,claude-3-5-sonnet,74847,127648,27,crew,9
7,claude-3-5-haiku,claude-3-5-sonnet,145025,188550,34,imp,8
8,claude-3-5-haiku,claude-3-5-sonnet,5367,11827,6,crew,1
9,claude-3-5-haiku,claude-3-5-sonnet,6808,17798,8,crew,2
10,claude-3-5-haiku,gemini-flash-1-5,7444,6813,6,imp,2
11,claude-3-5-haiku,gemini-flash-1-5,11012,13284,9,imp,2
12,claude-3-5-haiku,gemini-flash-1-5,7897,11996,9,crew,2
13,claude-3-5-haiku,gemini-flash-1-5,3942,4014,6,imp,2
14,claude-3-5-haiku,gemini-flash-1-5,7797,9743,10,imp,3
15,claude-3-5-haiku,gemini-pro-1-5,7103,5840,8,crew,1
16,claude-3-5-haiku,gemini-pro-1-5,7072,8723,8,crew,2
17,claude-3-5-haiku,gemini-pro-1-5,6063,6464,7,crew,2
18,claude-3-5-haiku,gemini-pro-1-5,8147,5817,8,crew,2
19,claude-3-5-haiku,gemini-pro-1-5,5808,7191,7,crew,2
20,claude-3-5-haiku,gpt-4o-mini,6602,10734,7,crew,2
21,claude-3-5-haiku,gpt-4o-mini,9128,8941,7,imp,3
22,claude-3-5-haiku,gpt-4o-mini,6868,6465,6,imp,2
23,claude-3-5-haiku,gpt-4o-mini,9574,12376,10,crew,2
24,claude-3-5-haiku,gpt-4o-mini,7045,8936,8,crew,1
25,claude-3-5-haiku,gpt-4o,8722,15799,9,crew,2
26,claude-3-5-haiku,gpt-4o,6809,10631,7,crew,2
27,claude-3-5-haiku,gpt-4o,16266,17684,10,imp,5
