filename,comparison,technique,kappa
gpt-4o-mini_vs_llama-3-1-8b-instruct_5.json,human_vs_annotations_4o_mini_ev,Shifting the Burden of Proof,0.06896551724137934
gpt-4o-mini_vs_llama-3-1-8b-instruct_5.json,human_vs_annotations_4o_mini_ev,Distraction,-0.12499999999999978
gpt-4o-mini_vs_llama-3-1-8b-instruct_5.json,human_vs_annotations_gemini_ev,Appeal to Logic,0.11764705882352944
gpt-4o-mini_vs_llama-3-1-8b-instruct_5.json,human_vs_annotations_gemini_ev,Shifting the Burden of Proof,0.7272727272727273
gpt-4o-mini_vs_llama-3-1-8b-instruct_5.json,human_vs_annotations_gemini_2_ev,Appeal to Logic,1.0
gpt-4o-mini_vs_llama-3-1-8b-instruct_5.json,human_vs_annotations_gemini_2_ev,Shifting the Burden of Proof,1.0
gpt-4o-mini_vs_llama-3-1-8b-instruct_5.json,human_vs_annotations_gemini_2_ev,Appeal to Credibility,1.0
gpt-4o-mini_vs_llama-3-1-8b-instruct_5.json,human_vs_annotations_gemini_2_ev,Distraction,0.6341463414634146
gpt-4o-mini_vs_llama-3-1-8b-instruct_5.json,human_vs_annotations_gemini_2_ev,Strategic Voting Suggestion,1.0
gpt-4o-mini_vs_llama-3-1-8b-instruct_5.json,human_vs_annotations_gemini_2_ev,Projection,0.5833333333333333
llama-3-1-405b-instruct_vs_gemini-flash-1-5_3.json,human_vs_annotations_4o_mini_ev,Appeal to Logic,0.07246376811594202
llama-3-1-405b-instruct_vs_gemini-flash-1-5_3.json,human_vs_annotations_4o_mini_ev,Shifting the Burden of Proof,0.4117647058823529
llama-3-1-405b-instruct_vs_gemini-flash-1-5_3.json,human_vs_annotations_4o_mini_ev,Appeal to Credibility,1.0
llama-3-1-405b-instruct_vs_gemini-flash-1-5_3.json,human_vs_annotations_4o_mini_ev,Distraction,0.4482758620689655
llama-3-1-405b-instruct_vs_gemini-flash-1-5_3.json,human_vs_annotations_4o_mini_ev,Projection,0.6363636363636364
llama-3-1-405b-instruct_vs_gemini-flash-1-5_3.json,human_vs_annotations_4o_mini_ev,Gaslighting,-0.06666666666666665
llama-3-1-405b-instruct_vs_gemini-flash-1-5_3.json,human_vs_annotations_gemini_ev,Appeal to Logic,0.3846153846153846
llama-3-1-405b-instruct_vs_gemini-flash-1-5_3.json,human_vs_annotations_gemini_ev,Strategic Voting Suggestion,-0.0714285714285714
llama-3-1-405b-instruct_vs_gemini-flash-1-5_3.json,human_vs_annotations_gemini_2_ev,Appeal to Logic,1.0
llama-3-1-405b-instruct_vs_gemini-flash-1-5_3.json,human_vs_annotations_gemini_2_ev,Shifting the Burden of Proof,0.9
llama-3-1-405b-instruct_vs_gemini-flash-1-5_3.json,human_vs_annotations_gemini_2_ev,Appeal to Credibility,0.45945945945945954
llama-3-1-405b-instruct_vs_gemini-flash-1-5_3.json,human_vs_annotations_gemini_2_ev,Distraction,0.7727272727272727
llama-3-1-405b-instruct_vs_gemini-flash-1-5_3.json,human_vs_annotations_gemini_2_ev,Strategic Voting Suggestion,0.6153846153846154
claude-3-5-haiku_vs_gpt-4o_1.json,human_vs_annotations_4o_mini_ev,Appeal to Logic,0.2222222222222222
claude-3-5-haiku_vs_gpt-4o_1.json,human_vs_annotations_4o_mini_ev,Shifting the Burden of Proof,-0.2790697674418605
claude-3-5-haiku_vs_gpt-4o_1.json,human_vs_annotations_4o_mini_ev,Appeal to Credibility,0.16666666666666663
claude-3-5-haiku_vs_gpt-4o_1.json,human_vs_annotations_4o_mini_ev,Distraction,1.0
claude-3-5-haiku_vs_gpt-4o_1.json,human_vs_annotations_4o_mini_ev,Projection,1.0
claude-3-5-haiku_vs_gpt-4o_1.json,human_vs_annotations_gemini_ev,Appeal to Logic,0.36363636363636365
